libraspberrypi0/testing,now 1.20210303-1 armhf [installed]
libreadline6/stable,now 6.3-9 armhf [installed]
libreadline7/stable,now 7.0-5 armhf [installed]
libsasl2-2/stable,now 2.1.27+dfsg-1+deb10u1 armhf [installed]
libsasl2-modules-db/stable,now 2.1.27+dfsg-1+deb10u1 armhf [installed]
libseccomp2/stable,now 2.3.3-4 armhf [installed]
libselinux1/stable,now 2.8-1+b1 armhf [installed]
libsemanage-common/stable,now 2.8-2 all [installed]
libsemanage1/stable,now 2.8-2 armhf [installed]
libsepol1/stable,now 2.8-1 armhf [installed]
libsigc++-1.2-5c2/stable,now 1.2.7-2+b1 armhf [installed]
libsmartcols1/stable,now 2.33.1-0.1 armhf [installed]
libsqlite3-0/stable,now 3.27.2-3+deb10u1 armhf [installed]
libss2/stable,now 1.44.5-1+deb10u3 armhf [installed]
libssl1.1/testing,now 1.1.1d-0+deb10u5+rpt1 armhf [installed]
libstdc++6/stable,now 8.3.0-6+rpi1 armhf [installed]
libsystemd0/stable,now 241-7~deb10u6+rpi1 armhf [installed]
libtasn1-6/stable,now 4.13-3 armhf [installed]
libtext-charwidth-perl/stable,now 0.04-7.1+b1 armhf [installed]
libtext-iconv-perl/stable,now 1.7-5+b10 armhf [installed]
libtext-wrapi18n-perl/stable,now 0.06-7.1 all [installed]
libtinfo5/stable,now 6.1+20181013-2+deb10u2 armhf [installed]
libtinfo6/stable,now 6.1+20181013-2+deb10u2 armhf [installed]
libuchardet0/stable,now 0.0.6-3 armhf [installed]
libudev0/stable,now 175-7.2 armhf [installed]
libudev1/stable,now 241-7~deb10u6+rpi1 armhf [installed]
libunistring2/stable,now 0.9.10-1 armhf [installed]
libuuid1/stable,now 2.33.1-0.1 armhf [installed]
libxtables12/stable,now 1.8.2-4 armhf [installed]
libzstd1/stable,now 1.3.8+dfsg-3+rpi1+deb10u2 armhf [installed]
locales/stable,now 2.28-10+rpi1 all [installed]
login/stable,now 1:4.5-1.1 armhf [installed]
logrotate/stable,now 3.14.0-4 armhf [installed]
lsb-base/stable,now 10.2019051400+rpi1 all [installed]
lua5.1/stable,now 5.1.5-8.1+b1 armhf [installed]
luajit/stable,now 2.1.0~beta3+dfsg-5.1 armhf [installed]
make/stable,now 4.2.1-1.2 armhf [installed]
man-db/stable,now 2.8.5-2 armhf [installed]
manpages-dev/stable,now 4.16-2 all [installed]
mawk/stable,now 1.3.3-17 armhf [installed]
mosquitto-clients/buster,now 2.0.9-0mosquitto1~buster1 armhf [installed]
mosquitto/buster,now 2.0.9-0mosquitto1~buster1 armhf [installed]
mount/stable,now 2.33.1-0.1 armhf [installed]
multiarch-support/stable,now 2.28-10+rpi1 armhf [installed]
nano/stable,now 3.2-3 armhf [installed]
ncdu/stable,now 1.13-1 armhf [installed]
ncurses-base/stable,now 6.1+20181013-2+deb10u2 all [installed]
ncurses-bin/stable,now 6.1+20181013-2+deb10u2 armhf [installed]
net-tools/stable,now 1.60+git20180626.aebd88e-1 armhf [installed]
netbase/stable,now 5.6 all [installed]
netcat-openbsd/stable,now 1.195-2 armhf [installed]
netcat-traditional/stable,now 1.10-41.1 armhf [installed]
nfs-common/stable,now 1:1.3.4-2.5+deb10u1 armhf [installed]
ntfs-3g/stable,now 1:2017.3.23AR.3-3 armhf [installed]
parted/stable,now 3.2-25 armhf [installed]
passwd/stable,now 1:4.5-1.1 armhf [installed]
paxctld/stable,now 1.2.1-1 armhf [installed]
pciutils/stable,now 1:3.5.2-1 armhf [installed]
perl-base/stable,now 5.28.1-6 armhf [installed]
pi-bluetooth/testing,now 0.1.15 all [installed]
pinentry-curses/stable,now 1.1.0-2 armhf [installed]
pkg-config/stable,now 0.29-6 armhf [installed]
policykit-1/testing,now 0.105-25+rpt1 armhf [installed]
procps/stable,now 2:3.3.15-2 armhf [installed]
psmisc/stable,now 23.2-1 armhf [installed]
python-rpi.gpio/testing,now 0.7.0-0.1~bpo10+4 armhf [installed]
python3-rpi.gpio/testing,now 0.7.0-0.1~bpo10+4 armhf [installed]
python3-smbus/stable,now 4.1-1 armhf [installed]
python/stable,now 2.7.16-1 armhf [installed]
raspberrypi-bootloader/testing,now 1.20210303-1 armhf [installed]
raspberrypi-kernel/testing,now 1.20210303-1 armhf [installed]
raspberrypi-net-mods/testing,now 1.3.0 all [installed]
raspberrypi-sys-mods/testing,now 20210310 armhf [installed]
raspbian-archive-keyring/stable,now 20120528.2 all [installed]
raspi-config/testing,now 20210212 all [installed]
raspi-copies-and-fills/testing,now 0.13 armhf [installed]
raspi-gpio/testing,now 0.20191001 armhf [installed]
raspinfo/testing,now 20190624-1 all [installed]
readline-common/stable,now 7.0-5 all [installed]
rng-tools/stable,now 2-unofficial-mt.14-1 armhf [installed]
rpi-eeprom/testing,now 11.10-1 armhf [installed]
rpi-update/testing,now 20200409 all [installed]
rsync/stable,now 3.1.3-6 armhf [installed]
rsyslog/stable,now 8.1901.0-1 armhf [installed]
rxvt/stable,now 1:2.7.10-7.1+urxvt9.22-6 all [installed]
sed/stable,now 4.7-1 armhf [installed]
sensible-utils/stable,now 0.0.12 all [installed]
ssh-import-id/stable,now 5.7-1 all [installed]
ssh/stable,now 1:7.9p1-10+deb10u2 all [installed]
strace/stable,now 4.26-0.2 armhf [installed]
sudo/stable,now 1.8.27-1+deb10u3 armhf [installed]
systemd-sysv/stable,now 241-7~deb10u6+rpi1 armhf [installed]
systemd/stable,now 241-7~deb10u6+rpi1 armhf [installed]
sysvinit-utils/stable,now 2.93-8 armhf [installed]
tar/stable,now 1.30+dfsg-6 armhf [installed]
tasksel-data/stable,now 3.53 all [installed]
tasksel/stable,now 3.53 all [installed]
traceroute/stable,now 1:2.1.0-2 armhf [installed]
tzdata/stable,now 2021a-0+deb10u1 all [installed]
udev/stable,now 241-7~deb10u6+rpi1 armhf [installed]
unzip/stable,now 6.0-23+deb10u2 armhf [installed]
usb-modeswitch/stable,now 2.5.2+repack0-2 armhf [installed]
usbutils/stable,now 1:010-3 armhf [installed]
util-linux/stable,now 2.33.1-0.1 armhf [installed]
v4l-utils/stable,now 1.16.3-3 armhf [installed]
vim-common/stable,now 2:8.1.0875-5 all [installed]
vim-tiny/stable,now 2:8.1.0875-5 armhf [installed]
vl805fw/testing,now 0.2 all [installed]
wget/stable,now 1.20.1-1.1 armhf [installed]
wireless-tools/stable,now 30~pre9-13 armhf [installed]
wpasupplicant/stable,now 2:2.7+git20190128+0c1e29f-6+deb10u2 armhf [installed]
x11-utils/stable,now 7.7+4 armhf [installed]
x11-xserver-utils/testing,now 7.7+8+rpi1 armhf [installed]
xinit/stable,now 1.4.0-1 armhf [installed]
xterm/stable,now 344-1 armhf [installed]
xxd/stable,now 2:8.1.0875-5 armhf [installed]
zlib1g/stable,now 1:1.2.11.dfsg-1 armhf [installed]
